
Weather{id=null, lon='-3.7', lat='40.42', city='Madrid', weatherMain='Rain', weatherDescription='light rain', weatherIcon='10d', base='stations', mainTemp='16.55', mainPressure='949.03', mainHumidity='93.0', mainTempMin='16.55', mainTempMax='16.55', mainSeaLevel='1020.23', mainGroundLevel='16.55', windSpeed='5.26', windDeg='227.001', rain3H='0.235', cloudsAll='76', dt='1477153551', sysMessage='0.0034', sysCountry='ES', sysSunriseAsTimestamp='1477118061', sysSunsetAsTimestamp='1477156994', sysSunrise='2016-10-22T06:34:21Z', sysSunset='2016-10-22T17:23:14Z', cod='200'}
Weather{id=null, lon='-4.42', lat='36.72', city='Malaga', weatherMain='Clear', weatherDescription='clear sky', weatherIcon='01d', base='stations', mainTemp='20.03', mainPressure='1007.64', mainHumidity='90.0', mainTempMin='20.03', mainTempMax='20.03', mainSeaLevel='1023.35', mainGroundLevel='20.03', windSpeed='2.96', windDeg='214.501', rain3H='null', cloudsAll='0', dt='1477153551', sysMessage='0.0047', sysCountry='ES', sysSunriseAsTimestamp='1477117949', sysSunsetAsTimestamp='1477157455', sysSunrise='2016-10-22T06:32:29Z', sysSunset='2016-10-22T17:30:55Z', cod='200'}
Weather{id=null, lon='-1.14', lat='37.99', city='Murcia', weatherMain='Rain', weatherDescription='light rain', weatherIcon='10d', base='stations', mainTemp='20.73', mainPressure='999.29', mainHumidity='82.0', mainTempMin='20.73', mainTempMax='20.73', mainSeaLevel='1022.34', mainGroundLevel='20.73', windSpeed='3.91', windDeg='202.501', rain3H='0.76', cloudsAll='24', dt='1477153552', sysMessage='0.004', sysCountry='ES', sysSunriseAsTimestamp='1477117256', sysSunsetAsTimestamp='1477156573', sysSunrise='2016-10-22T06:20:56Z', sysSunset='2016-10-22T17:16:13Z', cod='200'}
Weather{id=null, lon='-1.67', lat='42.75', city='Navarra', weatherMain='Clouds', weatherDescription='scattered clouds', weatherIcon='03d', base='stations', mainTemp='16.03', mainPressure='958.43', mainHumidity='68.0', mainTempMin='16.03', mainTempMax='16.03', mainSeaLevel='1019.62', mainGroundLevel='16.03', windSpeed='3.86', windDeg='131.501', rain3H='null', cloudsAll='36', dt='1477153552', sysMessage='0.0568', sysCountry='ES', sysSunriseAsTimestamp='1477117769', sysSunsetAsTimestamp='1477156309', sysSunrise='2016-10-22T06:29:29Z', sysSunset='2016-10-22T17:11:49Z', cod='200'}
Weather{id=null, lon='-7.85', lat='42.33', city='Ourense', weatherMain='Clouds', weatherDescription='scattered clouds', weatherIcon='03d', base='stations', mainTemp='16.48', mainPressure='951.71', mainHumidity='80.0', mainTempMin='16.48', mainTempMax='16.48', mainSeaLevel='1015.0', mainGroundLevel='16.48', windSpeed='2.56', windDeg='149.501', rain3H='null', cloudsAll='48', dt='1477153404', sysMessage='0.0031', sysCountry='ES', sysSunriseAsTimestamp='1477119217', sysSunsetAsTimestamp='1477157827', sysSunrise='2016-10-22T06:53:37Z', sysSunset='2016-10-22T17:37:07Z', cod='200'}
Weather{id=null, lon='-4.53', lat='42.02', city='Palencia', weatherMain='Rain', weatherDescription='light rain', weatherIcon='10d', base='stations', mainTemp='14.3', mainPressure='928.52', mainHumidity='89.0', mainTempMin='14.3', mainTempMax='14.3', mainSeaLevel='1017.72', mainGroundLevel='14.3', windSpeed='4.56', windDeg='173.501', rain3H='1.6925', cloudsAll='92', dt='1477153552', sysMessage='0.0038', sysCountry='ES', sysSunriseAsTimestamp='1477118393', sysSunsetAsTimestamp='1477157058', sysSunrise='2016-10-22T06:39:53Z', sysSunset='2016-10-22T17:24:18Z', cod='200'}
Weather{id=null, lon='-8.64', lat='42.43', city='Pontevedra', weatherMain='Rain', weatherDescription='light rain', weatherIcon='10d', base='stations', mainTemp='17.05', mainPressure='968.65', mainHumidity='77.0', mainTempMin='17.05', mainTempMax='17.05', mainSeaLevel='1014.6', mainGroundLevel='17.05', windSpeed='1.76', windDeg='170.501', rain3H='0.11', cloudsAll='92', dt='1477153553', sysMessage='0.0029', sysCountry='ES', sysSunriseAsTimestamp='1477119415', sysSunsetAsTimestamp='1477158008', sysSunrise='2016-10-22T06:56:55Z', sysSunset='2016-10-22T17:40:08Z', cod='200'}
Weather{id=null, lon='-5.65', lat='40.97', city='Salamanca', weatherMain='Rain', weatherDescription='light rain', weatherIcon='10d', base='stations', mainTemp='14.15', mainPressure='911.01', mainHumidity='97.0', mainTempMin='14.15', mainTempMax='14.15', mainSeaLevel='1018.04', mainGroundLevel='14.15', windSpeed='5.16', windDeg='200.501', rain3H='0.33', cloudsAll='44', dt='1477153256', sysMessage='0.0026', sysCountry='ES', sysSunriseAsTimestamp='1477118574', sysSunsetAsTimestamp='1477157416', sysSunrise='2016-10-22T06:42:54Z', sysSunset='2016-10-22T17:30:16Z', cod='200'}
Weather{id=null, lon='-16.25', lat='28.47', city='Santa Cruz de Tenerife', weatherMain='Clouds', weatherDescription='scattered clouds', weatherIcon='03d', base='stations', mainTemp='22.0', mainPressure='1012.34', mainHumidity='100.0', mainTempMin='22.0', mainTempMax='22.0', mainSeaLevel='1027.36', mainGroundLevel='22.0', windSpeed='2.66', windDeg='147.501', rain3H='null', cloudsAll='36', dt='1477153553', sysMessage='0.0033', sysCountry='ES', sysSunriseAsTimestamp='1477120241', sysSunsetAsTimestamp='1477160849', sysSunrise='2016-10-22T07:10:41Z', sysSunset='2016-10-22T18:27:29Z', cod='200'}
Weather{id=null, lon='-4.12', lat='40.95', city='Segovia', weatherMain='Rain', weatherDescription='light rain', weatherIcon='10d', base='stations', mainTemp='12.75', mainPressure='892.13', mainHumidity='97.0', mainTempMin='12.75', mainTempMax='12.75', mainSeaLevel='1018.77', mainGroundLevel='12.75', windSpeed='2.46', windDeg='193.501', rain3H='0.705', cloudsAll='76', dt='1477153553', sysMessage='0.0032', sysCountry='ES', sysSunriseAsTimestamp='1477118205', sysSunsetAsTimestamp='1477157051', sysSunrise='2016-10-22T06:36:45Z', sysSunset='2016-10-22T17:24:11Z', cod='200'}
Weather{id=null, lon='-5.98', lat='37.38', city='Sevilla', weatherMain='Rain', weatherDescription='light rain', weatherIcon='10d', base='stations', mainTemp='18.98', mainPressure='1016.88', mainHumidity='92.0', mainTempMin='18.98', mainTempMax='18.98', mainSeaLevel='1022.14', mainGroundLevel='18.98', windSpeed='5.81', windDeg='210.001', rain3H='1.095', cloudsAll='88', dt='1477153553', sysMessage='0.0068', sysCountry='ES', sysSunriseAsTimestamp='1477118373', sysSunsetAsTimestamp='1477157780', sysSunrise='2016-10-22T06:39:33Z', sysSunset='2016-10-22T17:36:20Z', cod='200'}
Weather{id=null, lon='-2.47', lat='41.76', city='Soria', weatherMain='Rain', weatherDescription='light rain', weatherIcon='10d', base='stations', mainTemp='13.3', mainPressure='891.64', mainHumidity='89.0', mainTempMin='13.3', mainTempMax='13.3', mainSeaLevel='1018.77', mainGroundLevel='13.3', windSpeed='2.91', windDeg='197.501', rain3H='1.43', cloudsAll='92', dt='1477152958', sysMessage='0.1176', sysCountry='ES', sysSunriseAsTimestamp='1477117876', sysSunsetAsTimestamp='1477156587', sysSunrise='2016-10-22T06:31:16Z', sysSunset='2016-10-22T17:16:27Z', cod='200'}
Weather{id=null, lon='1.25', lat='41.12', city='Tarragona', weatherMain='Clouds', weatherDescription='overcast clouds', weatherIcon='04d', base='stations', mainTemp='16.73', mainPressure='971.32', mainHumidity='78.0', mainTempMin='16.73', mainTempMax='16.73', mainSeaLevel='1022.26', mainGroundLevel='16.73', windSpeed='1.56', windDeg='115.501', rain3H='null', cloudsAll='88', dt='1477152991', sysMessage='0.0097', sysCountry='ES', sysSunriseAsTimestamp='1477116929', sysSunsetAsTimestamp='1477155749', sysSunrise='2016-10-22T06:15:29Z', sysSunset='2016-10-22T17:02:29Z', cod='200'}
Weather{id=null, lon='-1.11', lat='40.35', city='Teruel', weatherMain='Rain', weatherDescription='light rain', weatherIcon='10d', base='stations', mainTemp='12.03', mainPressure='885.97', mainHumidity='99.0', mainTempMin='12.03', mainTempMax='12.03', mainSeaLevel='1021.24', mainGroundLevel='12.03', windSpeed='2.31', windDeg='224.501', rain3H='0.375', cloudsAll='88', dt='1477153162', sysMessage='0.0021', sysCountry='ES', sysSunriseAsTimestamp='1477117433', sysSunsetAsTimestamp='1477156379', sysSunrise='2016-10-22T06:23:53Z', sysSunset='2016-10-22T17:12:59Z', cod='200'}
Weather{id=null, lon='-83.56', lat='41.66', city='Toledo', weatherMain='Clear', weatherDescription='clear sky', weatherIcon='01d', base='stations', mainTemp='5.4', mainPressure='1006.66', mainHumidity='100.0', mainTempMin='5.4', mainTempMax='5.4', mainSeaLevel='1031.54', mainGroundLevel='5.4', windSpeed='5.36', windDeg='310.501', rain3H='null', cloudsAll='0', dt='1477153553', sysMessage='0.0024', sysCountry='US', sysSunriseAsTimestamp='1477137345', sysSunsetAsTimestamp='1477176037', sysSunrise='2016-10-22T11:55:45Z', sysSunset='2016-10-22T22:40:37Z', cod='200'}
